Name,KOI
Kepler-1142 b,K02209.01
Kepler-1143 b,K02210.01
Kepler-1143 c,K02210.02
Kepler-1144 b,K02212.01
Kepler-1145 b,K02213.01
Kepler-1146 b,K02214.01
Kepler-1147 b,K02221.01
Kepler-1148 b,K02223.01
Kepler-1149 b,K02224.01
Kepler-115 b,K00159.02
Kepler-115 c,K00159.01
Kepler-1150 B b,K02225.01
Kepler-1151 b,K02227.01
Kepler-1152 b,K02238.01
Kepler-1153 b,K02242.01
Kepler-1154 b,K02243.01
Kepler-1154 c,K02243.02
Kepler-1155 b,K02245.01
Kepler-1156 b,K02246.01
Kepler-1157 b,K02247.01
Kepler-1158 b,K02252.01
Kepler-1159 b,K02253.01
Kepler-116 b,K00171.01
Kepler-116 c,K00171.02
Kepler-1160 b,K02255.01
Kepler-1161 b,K02256.01
Kepler-1162 b,K02257.01
Kepler-1163 b,K02260.01
Kepler-1164 b,K02261.01
Kepler-1165 b,K02263.02
Kepler-1166 b,K02264.01
Kepler-1167 b,K02266.01
Kepler-1168 b,K02271.01
Kepler-1169 b,K02273.01
Kepler-117 b,K00209.02
Kepler-117 c,K00209.01
Kepler-1170 b,K02274.01
Kepler-1171 b,K02276.01
Kepler-1172 b,K02280.01
Kepler-1173 b,K02281.01
Kepler-1174 b,K02282.01
Kepler-1175 b,K02285.01
Kepler-1176 b,K02286.01
Kepler-1177 b,K02296.01
Kepler-1178 b,K02298.02
Kepler-1179 b,K02300.01
Kepler-118 b,K00216.02
Kepler-118 c,K00216.01
Kepler-1180 b,K02302.01
Kepler-1181 b,K02303.01
Kepler-1182 b,K02304.01
Kepler-1183 b,K02308.01
Kepler-1184 b,K02309.01
Kepler-1185 b,K02311.03
Kepler-1186 b,K02313.01
Kepler-1187 b,K02314.01
Kepler-1188 b,K02316.01
Kepler-1189 b,K02317.01
Kepler-119 b,K00220.01
Kepler-119 c,K00220.02
Kepler-1190 b,K02318.01
Kepler-1191 b,K02327.01
Kepler-1192 b,K02328.01
Kepler-1193 b,K02331.01
Kepler-1194 b,K02335.01
Kepler-1195 b,K02337.01
Kepler-1196 b,K02338.01
Kepler-1197 b,K02339.01
Kepler-1198 b,K02340.01
Kepler-1199 b,K02342.01
Kepler-12 b,K00020.01
Kepler-120 b,K00222.01
Kepler-120 c,K00222.02
Kepler-1200 b,K02344.01
Kepler-1201 b,K02345.01
Kepler-1202 b,K02346.01
Kepler-1203 b,K02347.01
Kepler-1204 b,K02348.01
Kepler-1205 b,K02350.01
Kepler-1206 b,K02355.01
Kepler-1207 b,K02356.01
Kepler-1208 b,K02362.02
Kepler-1209 b,K02366.01
Kepler-121 b,K00223.01
Kepler-121 c,K00223.02
Kepler-1210 b,K02368.01
Kepler-1211 b,K02369.01
Kepler-1212 b,K02371.01
Kepler-1213 b,K02372.01
Kepler-1214 b,K02376.01
Kepler-1215 b,K02378.01
Kepler-1216 b,K02383.01
Kepler-1217 b,K02387.01
Kepler-1218 b,K02389.01
Kepler-1219 b,K02390.01
Kepler-122 b,K00232.02
Kepler-122 c,K00232.01
Kepler-122 d,K00232.03
Kepler-122 e,K00232.04
Kepler-122 f,K00232.05
Kepler-1220 b,K02392.01
Kepler-1221 b,K02397.01
Kepler-1222 b,K02399.01
Kepler-1223 b,K02402.01
Kepler-1224 b,K02403.01
Kepler-1225 b,K02406.01
Kepler-1226 b,K02407.01
Kepler-1227 b,K02408.01
Kepler-1228 b,K02409.01
Kepler-1229 b,K02418.01
Kepler-123 b,K00238.01
Kepler-123 c,K00238.02
Kepler-1230 b,K02419.01
Kepler-1231 b,K02420.01
Kepler-1232 b,K02422.01
Kepler-1233 b,K02423.01
Kepler-1234 b,K02424.01
Kepler-1235 b,K02426.01
Kepler-1236 b,K02432.01
Kepler-1237 b,K02436.01
Kepler-1238 b,K02437.01
Kepler-1239 b,K02439.01
Kepler-124 b,K00241.03
Kepler-124 c,K00241.01
Kepler-124 d,K00241.02
Kepler-1240 b,K02440.01
Kepler-1241 b,K02444.01
Kepler-1242 b,K02448.01
Kepler-1243 b,K02450.01
Kepler-1244 b,K02457.01
Kepler-1245 b,K02458.01
Kepler-1245 c,K02458.02
Kepler-1246 b,K02460.01
Kepler-1247 b,K02461.01
Kepler-1248 b,K02463.01
Kepler-1249 b,K02468.01
Kepler-125 b,K00251.01
Kepler-125 c,K00251.02
Kepler-1250 b,K02472.01
Kepler-1251 b,K02482.01
Kepler-1252 b,K02483.01
Kepler-1253 b,K02484.01
Kepler-1254 b,K02485.01
Kepler-1254 c,K02485.02
Kepler-1254 d,K02485.03
Kepler-1255 b,K02487.01
Kepler-1256 b,K02488.01
Kepler-1257 b,K02491.01
Kepler-1258 b,K02492.01
Kepler-1259 b,K02493.01
Kepler-126 b,K00260.01
Kepler-126 c,K00260.03
Kepler-126 d,K00260.02
Kepler-1260 b,K02494.01
Kepler-1261 b,K02497.01
Kepler-1262 b,K02506.01
Kepler-1263 b,K02509.01
Kepler-1264 b,K02517.01
Kepler-1265 b,K02520.01
Kepler-1266 b,K02521.01
Kepler-1267 b,K02523.01
Kepler-1268 b,K02524.01
Kepler-1269 b,K02530.01
Kepler-127 b,K00271.03
Kepler-127 c,K00271.02
Kepler-127 d,K00271.01
Kepler-1270 b,K02533.01
Kepler-1271 b,K02534.01
Kepler-1272 b,K02536.01
Kepler-1273 b,K02544.01
Kepler-1274 b,K02545.01
Kepler-1275 b,K02552.01
Kepler-1276 b,K02555.01
Kepler-1277 b,K02556.01
Kepler-1278 b,K02561.01
Kepler-1279 b,K02563.01
Kepler-128 b,K00274.01
Kepler-128 c,K00274.02
Kepler-1280 b,K02564.01
Kepler-1281 b,K02580.01
Kepler-1282 b,K02586.01
Kepler-1283 b,K02587.01
Kepler-1284 b,K02589.01
Kepler-1285 b,K02593.01
Kepler-1286 b,K02594.01
Kepler-1287 b,K02602.01
Kepler-1288 b,K02608.01
Kepler-1289 b,K02614.01
Kepler-129 b,K00275.01
Kepler-129 c,K00275.02
Kepler-1290 b,K02615.01
Kepler-1291 b,K02617.01
Kepler-1292 b,K02619.01
Kepler-1293 b,K02623.01
Kepler-1294 b,K02624.01
Kepler-1295 b,K02625.01
Kepler-1296 b,K02627.01
Kepler-1297 b,K02628.01
Kepler-1298 b,K02632.01
Kepler-1299 b,K02634.01
Kepler-13 b,K00013.01
Kepler-130 A b,K00282.02
Kepler-130 A c,K00282.01
Kepler-130 A d,K00282.03
Kepler-1300 b,K02635.01
Kepler-1301 b,K02643.01
Kepler-1302 b,K02647.01
Kepler-1303 b,K02649.01
Kepler-1304 b,K02652.01
Kepler-1305 b,K02654.01
Kepler-1306 b,K02655.01
Kepler-1307 b,K02660.01
Kepler-1308 b,K02662.01
Kepler-1309 b,K02664.01
Kepler-131 b,K00283.01
Kepler-131 c,K00283.02
Kepler-1310 b,K02668.01
Kepler-1311 b,K02674.02
Kepler-1311 c,K02674.03
Kepler-1312 b,K02675.01
Kepler-1313 b,K02678.01
Kepler-1314 b,K02688.01
